Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.8333333333333334
outer_1_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6538461538461539
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.625
outer_1_inner_4,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6778846153846154
outer_1_inner_5,"Index(['n_lesions', 'original_shape_Flatness',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6586538461538461
outer_2_inner_1,"Index(['n_lesions', 'original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.59375
outer_2_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.5746606334841629
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.75
outer_2_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.7904761904761904
outer_2_inner_5,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.7202380952380952
outer_3_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.6005291005291005
outer_3_inner_2,"Index(['n_lesions', 'original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6894409937888198
outer_3_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.5382775119617225
outer_3_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage', 'original_ngtdm_Coarseness'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.795673076923077
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.6919191919191919
outer_4_inner_1,"Index(['baseline_num_met_organs', 'original_shape_Elongation',
       'original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7155555555555556
outer_4_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.51
outer_4_inner_3,"Index(['n_lesions', 'original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6875
outer_4_inner_4,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.601010101010101
outer_4_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6394230769230769
outer_5_inner_1,"Index(['n_lesions', 'original_shape_Flatness',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.5349999999999999
outer_5_inner_2,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.78125
outer_5_inner_3,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.625
outer_5_inner_4,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7620192307692307
outer_5_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.6568627450980392
